7,1442,495,1456,510,0.7338672280311584
8,1447,498,1463,513,0.7905416488647461
10,1460,502,1474,517,0.6230419278144836
11,1466,502,1482,518,0.4957435131072998
17,1502,509,1517,526,0.672147274017334
22,1515,513,1531,529,0.5144806504249573
23,1518,513,1532,529,0.5905473828315735
24,1519,515,1533,529,0.7167325019836426
25,1519,516,1533,529,0.6911784410476685
26,1519,516,1533,530,0.6874336004257202
27,1519,517,1534,532,0.7058813571929932
28,1519,518,1532,531,0.6515540480613708
33,1513,519,1528,533,0.6589503288269043
41,785,657,797,666,0.6703487634658813
45,831,659,843,670,0.42501646280288696
68,976,601,998,616,0.42355650663375854
70,1329,586,1351,604,0.5238972306251526
71,1286,593,1312,610,0.6846523284912109
79,1016,645,1038,661,0.6488725543022156
83,1203,687,1220,701,0.47833365201950073
87,850,689,871,707,0.45820820331573486
97,884,610,899,625,0.5786868929862976
98,883,607,898,622,0.48606252670288086
99,881,606,894,620,0.43919363617897034
