4,596,168,607,181,0.6189153790473938
7,586,162,595,174,0.44265663623809814
8,582,161,592,172,0.6515244841575623
9,580,160,589,172,0.49981266260147095
30,583,158,591,169,0.4360703229904175
31,583,162,592,171,0.7109078764915466
32,586,164,595,173,0.5982427000999451
35,592,170,602,182,0.6531507968902588
36,594,174,604,183,0.8244412541389465
37,595,176,604,183,0.8115715384483337
42,607,183,617,193,0.5395230650901794
43,610,185,620,195,0.505782425403595
59,654,208,662,219,0.47127488255500793
60,656,211,665,221,0.5313055515289307
